N,gamma_t_over_J,gap_over_J,sensor_weight
25,0.001,0.0012287283924974357,0.0009185879216772577
26,0.001,0.0012041072647870454,0.0008197078907098333
28,0.001,0.0011645230286455078,0.0006607350548028556
29,0.001,0.0011485304050862233,0.0005965076509493286
30,0.001,0.0011345445589808708,0.0005403395942979471
32,0.001,0.0011114269596682806,0.00044749782999544974
34,0.001,0.0010933150504366701,0.00037475923870301884
35,0.001,0.0010857184479408089,0.000344250794943383
37,0.001,0.001072829592237604,0.00029248832223946567
39,0.001,0.0010624000682872912,0.00025060268388800677
41,0.001,0.0010538702798127215,0.0002163465052769052
43,0.001,0.001046826709163673,0.00018805907294914135
45,0.001,0.0010409593020287433,0.0001644951888724723
48,0.001,0.001033863481577968,0.00013599791798360377
50,0.001,0.0010300209163090753,0.00012056592895535366
53,0.001,0.0010252754776544082,0.00010150794238839754
55,0.001,0.0010226548725330575,9.09834238287749e-05
58,0.001,0.001019362254144331,7.776005680653523e-05
61,0.001,0.0010166779550271812,6.697973906506254e-05
64,0.001,0.0010144677433913307,5.810338711542803e-05
67,0.001,0.0010126314166796213,5.0728581041386845e-05
71,0.001,0.0010106361723768442,4.271555171744332e-05
74,0.001,0.001009407306404123,3.778034700681924e-05
78,0.001,0.0010080464563854328,3.231508588451016e-05
82,0.001,0.001006935913906437,2.7855075928591502e-05
86,0.001,0.0010060206781017378,2.417943012906325e-05
91,0.001,0.0010050896410535026,2.0440325517569592e-05
95,0.001,0.0010044784323606237,1.7985672133438795e-05
100,0.001,0.001003844580532709,1.5440082460045693e-05
2,0.01,0.12999999999999995,0.5000000000000001
3,0.01,0.06822236586721946,0.2425931911134143
4,0.01,0.041206959431907345,0.13002899763294715
5,0.01,0.028364710716659358,0.07651962798608129
6,0.01,0.021636090914553385,0.04848371214397268
7,0.01,0.017809122049128878,0.03253800853803783
8,0.01,0.015483852637949158,0.02284938599145526
9,0.01,0.013993772837158854,0.01664072015483003
10,0.01,0.01299651589161084,0.01248548288171315
11,0.01,0.01230465617776122,0.009602734074005536
12,0.01,0.011809963374929122,0.007541514062204725
13,0.01,0.011447055951787273,0.006029399799113586
14,0.01,0.011174888008607331,0.004895366702531446
15,0.01,0.010966823007008686,0.004028429195869722
16,0.01,0.010805070006146278,0.0033544583589408014
17,0.01,0.010677442185167378,0.0028226757715333712
18,0.01,0.010575403170859896,0.0023975132119184186
19,0.01,0.010492853702235627,0.0020535570926487035
20,0.01,0.010425357718266757,0.0017723238261143238
21,0.01,0.01036963680431191,0.0015401533513003558
22,0.01,0.010323232772973997,0.001346803220726352
23,0.01,0.010284278044796653,0.0011844918533199696
24,0.01,0.010251336605785366,0.0010472358574408831
25,0.01,0.010223292060063166,0.0009303835835978924
26,0.01,0.010199267660416456,0.0008302819184040768
28,0.01,0.010160638561880875,0.0006693273411709867
29,0.01,0.010145030206959338,0.0006042925289997097
30,0.01,0.010131379576103914,0.0005474149004330002
32,0.01,0.010108814215417894,0.0004533925642432592
34,0.01,0.01009113319922994,0.0003797216634570896
35,0.01,0.0100837168156368,0.00034882006515625367
37,0.01,0.010071132978658262,0.0002963874110766782
39,0.01,0.010060949520655948,0.0002539563360677217
41,0.01,0.01005262042616131,0.00021925177567222473
43,0.01,0.010045742170730398,0.00019059237804273748
45,0.01,0.010040012164341472,0.00016671735142283905
48,0.01,0.01003308209721454,0.0001378420717271583
50,0.01,0.010029329083757643,0.00012220451565750064
53,0.01,0.010024694015379185,0.00010289173074679199
55,0.01,0.01002213424563736,9.222602348943809e-05
58,0.01,0.010018917935422755,7.88247309321039e-05
61,0.01,0.010016295731676284,6.789888198484649e-05
64,0.01,0.010014136563334941,5.890234722983651e-05
67,0.01,0.010012342581254725,5.1427421896323244e-05
71,0.01,0.010010393273626097,4.330530677457317e-05
74,0.01,0.010009192658720134,3.8302744666811484e-05
78,0.01,0.010007863053624397,3.2762723435980476e-05
82,0.01,0.010006777974574055,2.8241560727150228e-05
86,0.01,0.010005883698408602,2.4515410035963382e-05
91,0.01,0.0100049739566338,2.0724819307250262e-05
95,0.01,0.010004376712087416,1.823630036353478e-05
100,0.01,0.010003757327140369,1.5655529752879325e-05
2,0.03,0.14,0.4999999999999999
3,0.03,0.08363684962344367,0.24380386192474376
4,0.03,0.058890698070217296,0.1313213548646237
5,0.03,0.04706478784658615,0.07756721748448385
6,0.03,0.04084182499233813,0.049281022692445636
7,0.03,0.037290795416053145,0.03313997916387656
8,0.03,0.035127774567416774,0.023308066215531737
9,0.03,0.03373896964865142,0.016995316584777105
10,0.03,0.03280805952711441,0.012763906941430895
11,0.03,0.03216142438603531,0.009824656300161917
12,0.03,0.03169859448095169,0.007720884004326421
13,0.03,0.03135877135000828,0.006176233409132425
14,0.03,0.03110373134872384,0.005016960676017127
15,0.03,0.030908639334786714,0.00413017879448703
16,0.03,0.03075689038865929,0.0034404108575450017
17,0.03,0.03063709997868269,0.002895908994014896
18,0.03,0.030541287521702376,0.0024603978259200615
19,0.03,0.030463746994140024,0.00210794088245817
20,0.03,0.030400325848412457,0.001819662947330198
21,0.03,0.030347953557320777,0.0015816070787309
22,0.03,0.030304326708719454,0.001383303221452321
23,0.03,0.030267694558918756,0.00121679344963117
24,0.03,0.030236710407139628,0.001075956396090435
25,0.03,0.030210326921874264,0.0009560314630620844
26,0.03,0.030187721329440413,0.0008532787701843906
28,0.03,0.03015136477867153,0.0006880217212332848
29,0.03,0.030136671311172255,0.0006212332326009614
30,0.03,0.030123819089343206,0.0005628140424684553
32,0.03,0.030102569727977646,0.00046622603625991795
34,0.03,0.03008591620133852,0.0003905281879048658
35,0.03,0.03007892975063453,0.00035877159379733007
37,0.03,0.030067073852665577,0.00030488114847983635
39,0.03,0.0300574779230129,0.00026126328642145683
41,0.03,0.030049628230292336,0.0002255828649702449
43,0.03,0.030043145021393252,0.000196113733607336
45,0.03,0.030037743472519196,0.00017156123872627056
48,0.03,0.030031209796694713,0.00014186271224987082
50,0.03,0.030027671021036366,0.00012577736834703252
53,0.03,0.030023300080023296,0.00010590945465198192
55,0.03,0.030020885939420042,9.493608827268307e-05
58,0.03,0.030017852346116758,8.114702780762877e-05
61,0.03,0.030015378871102436,6.990395955730888e-05
64,0.03,0.030013341992507825,6.064542049128599e-05
67,0.03,0.030011649484437686,5.295220198989242e-05
71,0.03,0.030009810286564232,4.4592211655128356e-05
74,0.03,0.030008677405037987,3.9442750175892576e-05
78,0.03,0.030007422726805566,3.373966729864698e-05
82,0.03,0.030006398723599934,2.9085107272744642e-05
86,0.03,0.03000555473051658,2.524877507813153e-05
91,0.03,0.030004696087168603,2.134585076736251e-05
95,0.03,0.03000413235598618,1.8783436298764173e-05
100,0.03,0.03000354769660177,1.6125893645709697e-05
